iter	RMSE
0	0.6471591594
1	0.6301739467
2	0.6136000495
3	0.5973995798
4	0.5817938451
5	0.5667174707
6	0.5521480791
7	0.5379803452
8	0.5243148507
9	0.5109466214
10	0.4981460268
11	0.4857738924
12	0.4735819355
13	0.4620480737
14	0.4507681225
15	0.4402407513
16	0.4298505087
17	0.419680921
18	0.4096817619
19	0.4002362333
20	0.3909356587
21	0.3818842807
22	0.3733048619
23	0.3649159578
24	0.3568935485
25	0.3492310524
26	0.34168768
27	0.3343729776
28	0.3273644039
29	0.3205680536
30	0.3140753707
31	0.3077098994
32	0.3015055197
33	0.2955806687
34	0.2897630139
35	0.2843185471
36	0.2790291079
37	0.2739557191
38	0.2690731868
39	0.2643834227
40	0.2599738573
41	0.2555380737
42	0.2512695316
43	0.2472840057
44	0.243285691
45	0.2395758334
46	0.2360005798
47	0.2326228289
48	0.2292378989
49	0.2260382637
50	0.222939345
51	0.2200130137
52	0.2171609217
53	0.2145426944
54	0.2119680557
55	0.2094354532
56	0.2071260467
57	0.2048680312
58	0.2026643142
59	0.200552694
60	0.1985692186
61	0.1966836893
62	0.1948949314
63	0.1931928129
64	0.1914893724
65	0.1898625936
66	0.1883453262
67	0.1869826558
68	0.1855962841
69	0.1842419412
70	0.1829036766
71	0.1816560574
72	0.1805234327
73	0.179385627
74	0.1783449595
75	0.1772931377
76	0.1762939906
77	0.1753650494
78	0.1744787347
79	0.173656728
80	0.172794923
81	0.1719965824
82	0.171258521
83	0.1705364146
84	0.169852469
85	0.1692090211
86	0.1685678227
87	0.1679402365
88	0.167350573
89	0.1668277056
90	0.1663289315
91	0.1658230861
92	0.1653312015
93	0.1648729271
94	0.1644366763
95	0.1640215107
96	0.1635999412
97	0.1632023691
98	0.1628367676
99	0.1624865479
100	0.1621553622
101	0.1618311713
102	0.1615292774
103	0.1612330592
104	0.1609327324
105	0.1606490315
106	0.1603750398
107	0.1601322208
108	0.1598701198
109	0.1596371019
110	0.1594087554
111	0.1591682267
112	0.1589486341
113	0.1587507
114	0.1585663661
115	0.1583664971
116	0.1581675417
117	0.1579858988
118	0.1578274437
119	0.1576609918
120	0.1574991742
121	0.1573394275
122	0.157185603
123	0.1570349109
124	0.1568932516
125	0.1567580597
126	0.156621306
127	0.1565026106
128	0.1563846243
129	0.1562708618
130	0.1561595487
131	0.1560382593
132	0.1559285155
133	0.1558293744
134	0.1557292386
135	0.1556336016
136	0.1555367004
137	0.1554431269
138	0.1553540253
139	0.1552637747
140	0.1551797479
141	0.1550907028
142	0.155007134
143	0.1549274022
144	0.1548457395
145	0.1547736702
146	0.1547031774
147	0.1546324982
148	0.1545671947
149	0.1545063389
150	0.1544374505
151	0.154373057
152	0.154310683
153	0.154257086
154	0.1542136621
155	0.1541541826
156	0.154108089
157	0.1540512917
158	0.1540062253
159	0.1539549219
160	0.1539055785
161	0.1538628712
162	0.1538155384
163	0.1537768746
164	0.1537337626
165	0.1536973363
166	0.153651706
167	0.1536102703
168	0.1535766193
169	0.1535401316
170	0.1535068092
171	0.1534733188
172	0.1534344135
173	0.1534032842
174	0.1533706768
175	0.1533470754
176	0.1533165249
177	0.1532840597
178	0.1532498169
179	0.1532163105
180	0.1531839529
181	0.1531589124
182	0.1531314772
183	0.1531044991
184	0.1530754085
185	0.1530475141
186	0.1530216646
187	0.1529984566
188	0.1529704192
189	0.152940088
190	0.1529182832
191	0.1528945962
192	0.1528683405
193	0.1528426629
194	0.1528233069
195	0.1528010593
196	0.1527736936
197	0.15275659
198	0.1527348293
199	0.1527140004
200	0.1526930088
201	0.1526699073
202	0.1526536129
203	0.1526369428
204	0.152617337
205	0.1526003827
206	0.152581601
207	0.1525617548
208	0.1525350947
209	0.1525207786
210	0.1524981863
211	0.152474825
212	0.1524519208
213	0.1524290534
214	0.1524136511
215	0.1523949927
216	0.1523796704
217	0.1523594509
218	0.1523457663
219	0.1523326295
220	0.1523181324
221	0.1522971672
