iter	Passed	Remaining
0	56	112160
1	67	67018
2	78	52287
3	87	43458
4	101	40396
5	110	36783
6	120	34291
7	129	32258
8	139	30951
9	149	29808
10	160	28996
11	169	28115
12	179	27448
13	187	26622
14	196	26031
15	204	25357
16	213	24947
17	223	24663
18	233	24339
19	242	24038
20	253	23886
21	262	23627
22	272	23461
23	283	23310
24	294	23229
25	305	23174
26	315	23028
27	326	22988
28	338	22972
29	350	23035
30	361	22941
31	370	22788
32	379	22639
33	389	22507
34	398	22371
35	407	22206
36	416	22092
37	427	22053
38	437	21996
39	447	21943
40	456	21803
41	467	21804
42	477	21730
43	486	21640
44	496	21587
45	505	21480
46	515	21430
47	523	21304
48	533	21241
49	542	21162
50	551	21089
51	561	21025
52	571	20996
53	582	20993
54	592	20945
55	601	20895
56	611	20850
57	619	20738
58	629	20722
59	639	20674
60	648	20602
61	657	20550
62	665	20466
63	674	20402
64	682	20331
65	691	20268
66	700	20221
67	710	20187
68	719	20140
69	729	20110
70	742	20159
71	751	20124
72	761	20090
73	772	20116
74	786	20178
75	797	20197
76	810	20239
77	819	20185
78	827	20128
79	836	20079
80	845	20038
81	855	19999
82	866	20003
83	876	19984
84	885	19952
85	896	19958
86	908	19975
87	918	19958
88	929	19961
89	939	19935
90	949	19913
91	959	19906
92	969	19879
93	978	19846
94	987	19799
95	997	19781
96	1004	19708
97	1012	19655
98	1020	19597
99	1029	19553
100	1038	19531
101	1047	19496
102	1056	19458
103	1063	19395
104	1072	19354
105	1082	19347
106	1092	19325
107	1100	19287
108	1110	19262
109	1119	19235
110	1128	19209
111	1138	19187
112	1146	19149
113	1155	19121
114	1165	19096
115	1174	19068
116	1182	19035
117	1193	19031
118	1202	19002
119	1211	18985
120	1222	18986
121	1232	18966
122	1240	18936
123	1251	18938
124	1261	18916
125	1271	18909
126	1279	18873
127	1289	18865
128	1298	18829
129	1305	18782
130	1314	18748
131	1321	18708
132	1331	18687
133	1340	18667
134	1348	18630
135	1357	18602
136	1366	18586
137	1375	18559
138	1384	18542
139	1395	18539
140	1406	18550
141	1416	18528
142	1424	18499
143	1434	18483
144	1444	18474
145	1452	18449
146	1461	18427
147	1473	18433
148	1483	18428
149	1494	18426
150	1502	18398
151	1513	18394
152	1521	18367
153	1531	18363
154	1541	18344
155	1549	18319
156	1560	18318
157	1572	18330
158	1582	18320
159	1591	18300
160	1599	18270
161	1608	18251
162	1618	18235
163	1626	18213
164	1634	18181
165	1642	18147
166	1650	18117
167	1657	18078
168	1667	18062
169	1677	18055
170	1685	18031
171	1693	18002
172	1702	17975
173	1710	17949
174	1719	17928
175	1727	17898
176	1734	17864
177	1742	17835
178	1750	17806
179	1760	17796
180	1767	17762
181	1776	17746
182	1785	17727
183	1791	17684
184	1799	17656
185	1806	17622
186	1814	17592
187	1821	17552
188	1828	17523
189	1836	17494
190	1844	17467
191	1852	17445
192	1860	17415
193	1868	17392
194	1876	17365
195	1885	17350
196	1894	17338
197	1904	17329
198	1913	17313
199	1923	17308
200	1932	17294
201	1940	17274
202	1947	17239
203	1956	17228
204	1966	17217
205	1973	17186
206	1980	17153
207	1989	17136
208	1999	17138
209	2009	17128
210	2017	17104
211	2025	17082
212	2034	17072
213	2044	17065
214	2051	17033
215	2060	17016
216	2068	16996
217	2078	16989
218	2087	16978
219	2096	16961
220	2103	16930
221	2111	16907
222	2120	16896
223	2128	16874
224	2135	16845
225	2143	16822
226	2152	16808
227	2157	16771
228	2165	16748
229	2175	16738
230	2183	16724
231	2192	16706
232	2197	16663
233	2205	16641
234	2213	16625
235	2224	16624
236	2233	16614
237	2242	16604
238	2251	16592
239	2255	16540
240	2264	16526
241	2273	16518
242	2282	16501
243	2290	16483
244	2294	16435
245	2303	16421
246	2310	16399
247	2320	16391
248	2327	16364
249	2336	16356
250	2346	16349
251	2355	16336
252	2363	16320
253	2371	16303
254	2382	16300
255	2390	16282
256	2400	16279
257	2406	16248
258	2414	16228
259	2424	16223
260	2432	16205
261	2439	16181
262	2445	16151
263	2453	16135
264	2460	16110
265	2468	16093
266	2477	16082
267	2485	16062
268	2493	16043
269	2503	16040
270	2514	16045
271	2522	16025
272	2531	16013
273	2538	15988
274	2548	15983
275	2557	15974
276	2566	15966
277	2575	15955
278	2588	15968
279	2597	15953
280	2603	15929
281	2611	15907
282	2619	15892
283	2628	15881
284	2637	15873
285	2647	15864
286	2657	15863
287	2667	15857
288	2675	15841
289	2683	15822
290	2688	15790
291	2698	15782
292	2706	15766
293	2714	15753
294	2723	15738
295	2731	15723
296	2741	15719
297	2750	15706
298	2757	15687
299	2765	15669
300	2771	15646
301	2779	15628
302	2788	15617
303	2797	15604
304	2806	15597
305	2815	15585
306	2824	15574
307	2832	15562
308	2842	15554
309	2850	15541
310	2858	15525
311	2866	15506
312	2874	15492
313	2882	15477
314	2887	15446
315	2895	15432
316	2906	15430
317	2916	15426
318	2924	15410
319	2931	15392
320	2941	15385
321	2949	15372
322	2957	15353
323	2965	15339
324	2974	15328
325	2983	15319
326	2991	15302
327	2997	15277
328	3005	15266
329	3014	15256
330	3022	15241
331	3029	15220
332	3037	15204
333	3044	15186
334	3052	15171
335	3060	15157
336	3069	15149
337	3076	15128
338	3084	15113
339	3094	15106
340	3099	15080
341	3110	15077
342	3119	15070
343	3127	15055
344	3135	15039
345	3142	15022
346	3150	15009
347	3159	14999
348	3168	14988
349	3173	14961
350	3182	14949
351	3188	14929
352	3197	14916
353	3204	14901
354	3212	14886
355	3220	14870
356	3228	14860
357	3238	14854
358	3246	14838
359	3253	14821
360	3262	14810
361	3264	14773
362	3273	14763
363	3281	14750
364	3289	14734
365	3298	14726
366	3306	14714
367	3315	14705
368	3323	14689
369	3332	14682
370	3343	14678
371	3353	14677
372	3360	14660
373	3363	14624
374	3370	14603
375	3377	14585
376	3383	14566
377	3392	14556
